author_anonymous,runtime_minutes,num_days_spent,tat_coef,deliver_score
QUPlSbVE,1028.1,4.583333333333333,1.583234126984127,2.1666666666666665
oaFZoZna,2233.6,4.2,1.8759523809523808,2.1714285714285713
pKonfYQA,142.9,2.090909090909091,2.0,2.1818181818181817
AcRbwaeO,1477.0,5.21875,1.4677083333333334,2.1875
hSzPrQAp,1011.0,4.857142857142857,1.4912698412698413,2.1904761904761907
LTdyByHs,3148.9,3.8876404494382024,1.4038012549248504,2.202247191011236
xlNKAGHi,2914.0,3.2531645569620253,1.1630801687763714,2.2025316455696204
oQEmcibJ,1163.0,5.473684210526316,1.353216374269006,2.210526315789474
ZXbgCBJl,1951.8,2.6307692307692307,1.0936263736263736,2.2153846153846155
ecubcITv,1927.0,5.177777777777778,1.5164550264550263,2.2222222222222223
LArFzKWd,4321.5,6.036363636363636,1.800887445887446,2.227272727272727
nxKNKBQX,2837.9,5.15,1.7523015873015875,2.2333333333333334
BrpKyfMO,923.8000000000001,4.9523809523809526,1.4186507936507937,2.238095238095238
iRvsdhxf,3484.2,3.0707964601769913,1.358968956314089,2.247787610619469
bzMilJiY,386.9,4.0,1.0,2.25
vqKoqUzk,2472.0,5.0227272727272725,1.0632575757575757,2.25
OaDzvQos,1565.6,4.785714285714286,1.1332908163265307,2.25
lxufjonZ,9550.4,3.4887892376681613,1.691800128122998,2.2690582959641254
DGTZXWWU,1988.0,4.269230769230769,1.5416666666666667,2.269230769230769
OzXrxChp,597.4,6.0,1.678030303030303,2.272727272727273
YjuBGatS,2456.1,2.391304347826087,1.7207729468599033,2.2753623188405796
dHVRkVRd,1406.3,5.0625,1.9114583333333333,2.28125
YjLMrtNJ,711.1,5.428571428571429,1.432766439909297,2.2857142857142856
YtQwEsIC,5910.2,3.8758620689655174,1.7494143404488234,2.2896551724137932
eCvLleOt,434.5,4.1,1.2583333333333333,2.3
VxORGrxH,214.60000000000002,2.0,1.0,2.3
mxDtnQoh,560.2,7.2,1.8702380952380953,2.3
btuSmJNy,1127.1,3.272727272727273,1.293939393939394,2.303030303030303
